"reviewId","userId","userName","userImage","content","score","thumbsUpCount","thumbsDownCount","at","date","url","replyContent","repliedAt","appVersion","device","androidOsVersion","ordenacao","ordenacao_nome"
"4178aea3-44e7-4c04-aec3-d5670a70de8b","","FranciscoKelvin Ferreira","https://play-lh.googleusercontent.com/a/ACg8ocLxvV1NfXiSzZ6X25eJULFTyq58FBnWwSaF1REjNqRH3ZwJwg=mo","Péssima experiência de início. Fiz meu cadastro mas eles não permitem o uso da minha conta porque pedem um código de verificação que eles dizem que expira em 10 min. E o pior ,você tenta usa esse código em poucos segundos depois para está completando seu cadastro mas não é mais possível. É tanta segurança que acaba impossibilitando o uso do próprio usuário. Acho que essa foi a conta mais difícil de se usar. Não gostei, pois nem posso usar.","1","43","0","2020-07-04 08:51:55","","","Please contact the support team(support@kucoin.com).","2020-09-30 02:29:32","3.14.0","","","2","Mais antigos"
"cbdba9bc-867a-4e81-9178-cb3fd2aab511","","Eduardo Hideki Murata","https://play-lh.googleusercontent.com/a/ACg8ocJyvSk56qXVKKPijMI4I9rkZiudvN4d9ZwJgpRYuXUpsqQ43Q=mo","Aplicativo difícil de usar, pouco intuitivo. Testei o envio por Pix, chegou rápido, mas deu trabalho para trocar os reais por usdt. Consegui na base da tentativa e erro, algo que em outros aplicativos é muito simples e rápido. Depois tentei comprar Sdao, mas sinceramente não sei até agora se consegui porque o saldo está em usdt, mas ao mesmo tempo foi informado que a compra foi efetivada com exito. Não entendi.","1","163","0","2022-04-11 04:23:56","","","","","3.54.0","","","2","Mais antigos"
"099f0535-647b-4c8b-928e-eb1358094e47","","Wilker Paulino De Oliveira","https://play-lh.googleusercontent.com/a-/ALV-UjUphI4l9vvRuLHhRPYeo10jO-Cf9EKe-LFbh8BBJFW7g-js3wxn","Um dos piores aplicativos, vc consegue enviar dinheiro e fazer negociações, mas para retirar o dinheiro é muito demorado, o chat é em inglês se tiver algum problema, está ferrado, atendentes parecem robôs, não resolvem nada, não consigo sacar o meu dinheiro, tentando a horas. Não recomendo a kucoin, em breve aparece coisa melhor.","1","45","0","2022-06-22 20:49:17","","","Please edit your review with your ticket number for us to help follow it up with the support. Or kindly send us the details of the problem at support@kucoin.com.","2022-06-23 03:44:47","3.59.2","","","2","Mais antigos"
"b221689f-32d2-4d1c-99ff-ae61552bf934","","ANDERSON LUIZ CARVALHO DE SOUZA (Anderson)","https://play-lh.googleusercontent.com/a/ACg8ocLgIo5SPxcV0bYAKUJ4J4wYhrNWxRg-S0gS_IT145RPpQd8BOQ=mo","Bem, são vários dias tentando, mas a segunda verificação dos documentos, para depositar em reais, sempre falha, mesmo que já tenha confirmado minha identidade, mesmo já tendo entrado em contato com o suporte técnico, nada se resolveu. Pela primeira vez, avalio um app desses tão negativamente, é péssimo. Não querem realmente nosso dinheiro, aparentemente...","1","394","0","2022-07-06 13:27:57","","","Please edit your review with your ticket number for us to help follow it up with the support. Or kindly send us the details of the problem at support@kucoin.com.","2022-07-07 04:52:58","3.60.1","","","2","Mais antigos"
"c98008c8-8102-419b-b085-be2803008c0a","","Gabriel Salvador","https://play-lh.googleusercontent.com/a-/ALV-UjVhsx3vuoT3GaeiPM40Ml3k5J_SMg4xj3WZLTrL1a5zko6Q48tDpQ","Depositei umas USDTs pra fazer um trade, mas como fazia muito tempo que não usava a plataforma, esqueci a minha senha de negociação. Pra alterar a senha, pediram novamente a identidade, sendo que já foi enviada durante o processo de KYC, e ainda terei que esperar 3 dias até aprovarem a alteração. Depois disso, serão mais 24 hrs até poder sacar. Entendo a importância de haver ferramentas de segurança, mas nesse caso chega a ser até inconveniente. Depois de concluir o trade, vou encerrar a conta.","2","25","0","2023-09-20 12:00:20","","","","","3.92.1","","","2","Mais antigos"
"b566a15b-b886-4a42-a740-f93cc14210ea","","Fausto Ando","https://play-lh.googleusercontent.com/a/ACg8ocK5Linec0hKNKbAnDqlLqHjofa0r8xwU4P_1GedUNjMd_Nb5g=mo","Péssimo! Até hoje o único app de corretora que não consegui usar. Problema ao fazer identificação de identidade. Informava que o número do registro da minha habilitação já havia sido registrado outras vezes. Superado esse problema, agora a verificação do email foi muito difícil, apenas 59 segundos quase não há tempo suficiente. Verificação do telefone nunca recebi nenhuma mensagem. Lamentável. 👎","1","62","0","2024-03-04 17:54:07","","","Hi, Fausto. We're so sorry for the issues with identity verification and Email. Your feedback is crucial to us. For immediate support, please contact our customer service at support@kucoin.com or visit our Help Center. We're committed to solving your problems and improving your experience. Thank you for your patience.","2024-03-13 06:22:17","3.103.0","","","2","Mais antigos"
"5feebbe0-bd7b-451f-ab14-a2707d49c750","","Matheus Sousa","https://play-lh.googleusercontent.com/a-/ALV-UjXN646PJRZx8r_xFFutQXKumcSR1VraaPsqQ7QbHSgSBlE-d9hc","A verificação com email e número de telefone para fazer o depósito deu erro, e quando clico para fazer a verificação de identidade novamente e coloco o email e telefone, volta para a tela de erro. Até então o app está sendo inútil. Além disso a verificação é muito ruim, que ao invés de colocar uma foto ou você mesmo tirar, a foto é automática sendo difícil controlar o foco da câmera, e nem sequer da para ver como a foto ficou dos documentos.","1","13","0","2024-04-26 13:36:42","","","","","","","","2","Mais antigos"
"91934ed8-08ff-40db-a192-070138fc119a","","Alan Fonseca","https://play-lh.googleusercontent.com/a/ACg8ocIB5XmqOCzFPdDQNyVNfhzM-JvfNRpAGvWjRA10uzN0UaNobg=mo","Plataforma muito confusa! Fiz um depósito via Pix e após 1h o valor ainda não caiu plataforma sendo que no email da própria platafoma confirma o recebimento. O que acontece é que utilizam de terceiros para lançamentos, então efetuando o depósito por Pix, salvem os dados de email e telefone apresentados, para alinhar o lançamento, com o terceiro (intermediário).","3","10","0","2024-08-10 07:56:13","","","Based on your description, a delay or failure in the fiat deposit process could be due to reasons like using the wrong address, bank or third-party payment interception, or our risk control measures. Please contact our customer support team at support@kucoin.com and provide more information so we can assist you in resolving the issue.","2024-09-02 05:38:02","3.114.0","","","2","Mais antigos"
"c6f1b4aa-96f3-4678-9397-39df503d5405","","Samuel Matos","https://play-lh.googleusercontent.com/a/ACg8ocKV3eH5g54baLjFRPqQk22xkFYvQtpb7SV9OyFS6qwUOGxRaQ=mo","Péssima experiência. A começar que é um app complexo, difícil de se mexer, pouco intuitivo e mentiroso, ele mente: diz que precisa duma senha de negociação, essa senha não é a de autenticação do Google mas seus usuários NÃO definiram uma senha de negociação. Eu não defini NENHUMA senha de negociação. Não posso comprar criptos e nem sacar, isso é um absurdo, um dia sem comprar e eu posso perder uma alta de 100, 200%.","1","14","0","2024-12-06 23:38:17","","","Dear Valued User,
Thank you for sharing your experience with the KuCoin app. We apologize for any inconvenience. Your suggestion to introduce a Easy Trading Interface is invaluable and has been shared with our development team. We are committed to making our platform more user-friendly and accessible.","2024-12-10 03:03:20","3.122.0","","","2","Mais antigos"
"ba056cb8-68c4-49d5-81b3-5441acf47fe7","","Miguel Simoes Simoes","https://play-lh.googleusercontent.com/a-/ALV-UjUOC1IiT3iJdI4NzgSQ2iJxIaR2aNpGAwIAd8dZwFj38BDMeKE","perfeito, com cartão visa muito útil, algumas melhorias podiam ser feitas nos levantamentos. mas está muito bom.","5","7","0","2025-08-29 16:16:15","","","","","3.141.0","","","2","Mais antigos"
